z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0.031031,0,0,0,1.29778e-10,1.73501e-10,-1.73501e-10,0,0,0
0.032032,0.0375544,-0.046734,0,0,0,0,-0.00285581,0.00486647,0
0.033033,0,0,0,-2.76378e-11,-8.47921e-11,8.47921e-11,0,0,0
0.034034,-0.0542224,0.0528399,0,0,0,0,0.00123476,0.00161782,0
0.035035,0,0,0,-5.50177e-11,-6.36076e-12,6.36076e-12,0,0,0
0.036036,0.0512332,-0.0409416,0,0,0,0,-0.000569519,-0.000929685,0
0.037037,0,0,0,1.62821e-10,1.24863e-10,-1.24863e-10,0,0,0
0.038038,-0.0306848,0.0134731,0,0,0,0,-0.00654535,0.00405825,0
0.039039,0,0,0,-1.57232e-10,-1.52949e-10,1.52949e-10,0,0,0
0.04004,8.05046e-05,0.0171442,0,0,0,0,0.00314397,-0.0068703,0
0.041041,0,0,0,1.48414e-10,1.93911e-10,-1.93911e-10,0,0,0
0.042042,0.0313785,-0.0425671,0,0,0,0,-0.00466151,0.000768845,0
0.043043,0,0,0,-5.11629e-11,-8.49866e-11,8.49866e-11,0,0,0
0.044044,-0.0499984,0.0523667,0,0,0,0,0.0037434,-0.00351726,0
0.045045,0,0,0,-5.06578e-11,3.16112e-11,-3.16112e-11,0,0,0
0.046046,0.0521114,-0.0430424,0,0,0,0,0.0033147,-0.00271586,0
0.047047,0,0,0,1.27019e-10,1.03985e-10,-1.03985e-10,0,0,0
0.048048,-0.0353639,0.0193784,0,0,0,0,-0.000851084,0.00487698,0
0.049049,0,0,0,-1.72477e-10,-1.49772e-10,1.49772e-10,0,0,0
0.0500501,0.00610514,0.0119253,0,0,0,0,0.0060898,-0.0025858,0
0.0510511,0,0,0,1.47686e-10,1.73415e-10,-1.73415e-10,0,0,0
0.0520521,0.0238669,-0.0385667,0,0,0,0,-0.00489159,0.00642674,0
0.0530531,0,0,0,-6.12227e-11,-1.14725e-10,1.14725e-10,0,0,0
0.0540541,-0.046065,0.0506346,0,0,0,0,0.000632947,0.000263298,0
0.0550551,0,0,0,-1.74481e-11,4.04712e-11,-4.04712e-11,0,0,0
0.0560561,0.0508614,-0.0460588,0,0,0,0,-0.0026374,-0.000993101,0
0.0570571,0,0,0,1.33586e-10,8.72237e-11,-8.72237e-11,0,0,0
